aar	Afar
phn	Phoenician
pli	Pali
pol	Polish
por	Portuguese
pon	Pohnpeian
pra	Prakrit languages
pro	Proveçal, Old (to 1500)
pus	Pushto
que	Quechua
raj	Rajasthani
rap	Rapanui
rar	Rarotongan
roa	Romance (Other)
roh	Raeto-Romance
rom	Romany
rum	Romanian
run	Rundi
rus	Russian
sad	Sandawe
sag	Sango
sah	Yakut
sai	South American Indian (Other)
sal	Salishan languages
sam	Samaritan Aramaic
san	Sanskrit
sas	Sasak
sat	Santali
scc	Serbian
sco	Scots
scr	Croatian
sel	Selkup
sem	Semitic (Other)
sga	Irish, Old (to 900)
sgn	Sign languages
shn	Shan
sid	Sidamo
sin	Sinhalese
sio	Siouan languages
sit	Sino-Tibetan (Other)
sla	Slavic (Other)
slo	Slovak
slv	Slovenian
sma	Southern Sami
sme	Northern Sami
smi	Sami languages (Other)
smj	Lule Sami
smn	Inari Sami
smo	Samoan
sms	Skolt Sami
sna	Shona
snd	Sindhi
snk	Soninke
sog	Sogdian
som	Somali
son	Songhai
sot	Sotho, Southern
spa	Spanish (Castilian)
srd	Sardinian
srr	Serer
ssa	Nilo-Saharan (Other)
ssw	Swati
suk	Sukuma
sun	Sundanese
sus	Susu
sux	Sumerian
swa	Swahili
swe	Swedish
syr	Syriac
tah	Tahitian
tai	Tai (Other)
tam	Tamil
tso	Tsonga
tat	Tatar
tel	Telugu
tem	Timne
ter	Tereno
tet	Tetum
tgk	Tajik
tgl	Tagalog
tha	Thai
tib	Tibetan
tig	Tigre
tir	Tigrinya
tiv	Tiv
tkl	Tokelau
tlh	Klingon; tlhIngan-Hol
tli	Tlinglit
tmh	Tamashek
tog	Tonga (Nyasa)
ton	Tonga (Tonga Islands)
tpi	Tok Pisin
tsi	Tsimshian
tsn	Tswana
tuk	Turkmen
tum	Tumbuka
tup	Tupi languages
tur	Turkish
tut	Altaic (Other)
tvl	Tuvalu
twi	Twi
tyv	Tuvinian
udm	Udmurt
uga	Ugaritic
uig	Uighur
ukr	Ukrainian
umb	Umbundu
und	Undetermined
urd	Urdu
uzb	Uzbek
vai	Vai
ven	Venda
vie	Vietnamese
vol	Volapuk
vot	Votic
wak	Wakashan languages
wal	Walamo
war	Waray
was	Washo
wel	Welsh
wen	Sorbian languages
wln	Walloon
wol	Wolof
xal	Kalmyk
xho	Xhosa
yao	Yao
yap	Yapese
yid	Yiddish
yor	Yoruba
ypk	Yupik languages
zap	Zapotec
zen	Zenaga
zha	Chuang; Zhuang
znd	Zande
zul	Zulu
zun	Zuni
